17 hd000886 B2IV
27 hd003360 B2IV
52 hd003379 B2.5IV
151 hd003901 B2V
275 hd005394 B0IVe
323 hd010516 B2Vep
161 hd011241 B1.5V
18 hd016582 B2IV
32 hd019374 B1.5V
18 hd019400 B3V+A0IV
249 hd020336 B2.5Ven
123 hd021428 B3V
48 hd022951 B0.5V
91 hd023466 B3V
41 hd023793 B3V+F5V
82 hd024131 B1V
102 hd024640 B1.5V
140 hd024760 B0.5V+A2V
81 hd025204 B3V+A4IV
48 hd025558 B3V
138 hd025940 B3Ve
25 hd026326 B4V
59 hd026912 B3IV
131 hd027192 B1.5IV
114 hd027778 B3V
289 hd028497 B1Vne
35 hd028873 B2IV-V
87 hd029763 B3V
21 hd031726 B1V
49 hd032249 B3V
70 hd032343 B2.5Ve
47 hd032612 B2.5IV
85 hd032630 B3V
54 hd032990 B2V
169 hd032991 B2Ve
218 hd033328 B2IVne
54 hd034759 B3V
45 hd034798 B3V
36 hd034816 B0.5IV
286 hd035149 B1V
20 hd035337 B2IV
226 hd035407 B4IVn
51 hd035411 B1V+B2e
289 hd035439 B1Vpe
216 hd035532 B2Vn
155 hd035588 B2.5V
96 hd035715 B2IV
17 hd036285 B2IV-V
30 hd036351 B1IV+B1.5V
29 hd036512 B0V
248 hd036576 B2IV-Ve
14 hd036591 B1IV
134 hd036653 B3V
145 hd036695 B1V
132 hd036779 B2.5V
74 hd036819 B2.5IV
41 hd036960 B0.5V
128 hd037017 B1.5V
64 hd037018 B1V
112 hd037021 B0V
89 hd037055 B3IV
86 hd037232 B2IV-V
304 hd037303 B1V
26 hd037356 B2IV-V
30 hd037367 B2IV-V
44 hd037438 B3IV
116 hd037479 B2Vp
66 hd037481 B1.5IV
31 hd037744 B1.5V
55 hd037756 B2IV-V
171 hd037967 B2.5Ve
109 hd039698 B2V
24 hd039777 B1.5V
55 hd040494 B2.5IV
248 hd041335 B2Ven
64 hd041534 B2.5V
44 hd041753 B3V
172 hd042054 B4IVe
121 hd042560 B3IV
88 hd043317 B3IV
257 hd043544 B2.5Vn
94 hd044112 B2.5V
60 hd044402 B2.5V
230 hd044458 B1Vpe
217 hd044506 B1.5Ve
25 hd044700 B3V
56 hd045546 B2V
283 hd045725 B3Ve
108 hd045813 B4V
200 hd045995 B2V:nne
15 hd046328 B0.5IV
101 hd048879 B4IV
25 hd048977 B2.5V
233 hd050013 B1.5IVne
45 hd050707 B1IV
54 hd050820 B3IVe+K2II
257 hd052918 B1V
287 hd053755 B0.5V+F5III
129 hd053974 B0.5IV
27 hd054031 B3V
155 hd054309 B2IVe
27 hd054893 B2IV-V
157 hd055857 B0.5V
88 hd056139 B2IV-Ve
119 hd058050 B2Ve
43 hd058343 B2.5IVe
304 hd058978 B0IV:pe
184 hd060606 B3Vne
219 hd060855 B2Ve
359 hd063462 B0V:pe:
79 hd063578 B1.5IV
121 hd064503 B2.5V
133 hd064740 B1.5Vp
49 hd064802 B2V
50 hd065575 B3IVp
266 hd065818 B1Vp+B3IV:
142 hd065904 B4V
214 hd066194 B2IVpne
220 hd067536 B2.5Vn
47 hd067880 B2.5V
36 hd067888 B4V
113 hd068217 B2IV-V
92 hd068243 B1IV
153 hd069081 B1.5IV
24 hd069082 B2IV-V
33 hd070556 B2IV-V
100 hd070930 B1V
154 hd072067 B2Vn
141 hd072350 B4IV
23 hd074195 B3IV
127 hd074273 B1.5V
93 hd074280 B3V
209 hd074455 B1.5Vn
27 hd074560 B3IV
237 hd075311 B3Vne
28 hd075387 B2IV-V
265 hd076161 B3Vn
27 hd076566 B3IV
126 hd078764 B2IVe
41 hd081188 B2IV-V
64 hd083058 B1.5IV
226 hd085871 B1IV
149 hd086612 B4Ve
179 hd087015 B2.5IV
220 hd088661 B2IVpne
116 hd088825 B4Ve
168 hd089688 B2.5IV
216 hd091465 B4Vne
100 hd093030 B0Vp
41 hd093845 B2.5IV
141 hd100600 B4V
89 hd104337 B1.5V
95 hd105937 B3V
108 hd106231 B4IV
127 hd106490 B2IV
60 hd106983 B2.5V
104 hd108248 B0.5IV
257 hd108257 B3Vn
162 hd108483 B2V
100 hd109668 B2IV-V
121 hd110879 B2.5V
325 hd112078 B4Vne
33 hd112092 B2IV-V
21 hd113791 B1.5V
211 hd116072 B2.5Vn
182 hd116087 B3V
54 hd120307 B2IV
117 hd120315 B3V
139 hd120324 B2IV-Ve
40 hd120640 B2Vp
155 hd121263 B2.5IV
60 hd121743 B2IV
112 hd121790 B2IV-V
15 hd122980 B2V
192 hd125238 B2.5IV
20 hd126341 B2IV
260 hd127972 B1.5Vne
130 hd129116 B3V
27 hd132200 B2IV
27 hd134687 B3IV
164 hd135160 B0.5Ve
86 hd135348 B3IV
162 hd136298 B1.5IV
87 hd136504 B2IV-V
157 hd136664 B4V
221 hd137387 B3IVe
63 hd137432 B4Vp
201 hd138485 B2Vn
254 hd138690 B2IV
64 hd138769 B3IVp
180 hd139365 B2.5V
238 hd141637 B3V
275 hd142184 B2.5Vne
88 hd142669 B2IV-V
112 hd143018 B1V+B2V
180 hd143118 B2.5IV
137 hd143275 B0.3IV
96 hd144217 B1V
259 hd144294 B2.5Vn
102 hd144470 B1V
165 hd145482 B2V
119 hd145502 B3V
110 hd148184 B2IV:pe
160 hd148605 B2V
11 hd149438 B0V
108 hd150745 B2IV-V
223 hd151890 B1.5V+B6.5V
321 hd152478 B3Vnep
241 hd153261 B2IVne
128 hd156633 B1.5Vp+B5III
24 hd157056 B2IV
54 hd158408 B2IV
240 hd158427 B2Vne
125 hd158926 B2IV+B
25 hd160762 B3IV
256 hd164284 B2Ve
156 hd164852 B3IV
37 hd166182 B2IV
227 hd168905 B2.5Vn
25 hd169467 B3IV
155 hd170235 B2IVpe
38 hd170740 B2V
232 hd171406 B4Ve
27 hd172910 B2.5V
139 hd174237 B2.5Ve
20 hd177003 B2.5IV
123 hd178175 B2Ve
166 hd179406 B3V
27 hd180163 B2.5IV
82 hd180554 B4IV
233 hd180968 B0.5IV
56 hd181615 B2Vpe+A2IaShell
24 hd181858 B3IVp
261 hd182180 B2Vn
233 hd183362 B3Ve
26 hd184171 B3IV
174 hd187567 B2.5IVe
221 hd187811 B2.5Ve
24 hd189103 B3IV
206 hd189687 B3IVe
114 hd190993 B3V
245 hd191610 B2.5Ve
315 hd194335 B2Ven
37 hd197511 B2V
207 hd198625 B4Ve
110 hd199661 B2.5IV
267 hd200310 B1Ve
123 hd202654 B4IV
165 hd202904 B2Vne
142 hd203467 B3IVe
59 hd203532 B3IV
35 hd205021 B1IV
165 hd205637 B2.5Vpe
75 hd206672 B3IV
87 hd208057 B3Ve
250 hd208682 B2.5Ve
255 hd209522 B4IVne
24 hd210191 B2.5IV
271 hd212571 B1Ve
102 hd212978 B2V
60 hd213420 B2IV
295 hd214168 B2Ve
56 hd214240 B3V
161 hd216200 B3IV:
24 hd216916 B2IV
109 hd217101 B2IV-V
270 hd217543 B3Vpe
55 hd218376 B0.5IV
133 hd221253 B3IV
142 hd224572 B1V
